date,stock,todayPosition
2021-10-14,HSY,-79298.0
2021-10-14,CMG,7891.0
2021-10-14,NKE,91400.0
2021-10-14,NUE,-142373.0
2021-10-14,EQT,-719683.0
2021-10-15,ALLE,-107930.0
2021-10-15,GPC,-112185.0
2021-10-15,HSY,-78402.0
2021-10-15,CMG,0.0
2021-10-15,NKE,90911.0
2021-10-15,NUE,-141121.0
2021-10-15,EQT,-699251.0
2021-10-18,ALLE,-106530.0
2021-10-18,GPC,-112317.0
2021-10-18,HSY,-79537.0
2021-10-18,CMG,7803.0
2021-10-18,NKE,90411.0
2021-10-18,NUE,-140358.0
2021-10-18,EQT,-721136.0
2021-10-19,ALLE,-105953.0
2021-10-19,GPC,-112681.0
2021-10-19,HSY,-79929.0
2021-10-19,CMG,7711.0
2021-10-19,NKE,89605.0
2021-10-19,NUE,-139332.0
2021-10-19,EQT,-712149.0
2021-10-20,ALLE,-106040.0
2021-10-20,GPC,-111790.0
2021-10-20,HSY,-79497.0
2021-10-20,CMG,0.0
2021-10-20,NKE,90520.0
2021-10-20,NUE,-138293.0
2021-10-20,EQT,-705467.0
2021-10-21,ALLE,-104389.0
2021-10-21,GPC,-110186.0
2021-10-21,HSY,-79281.0
2021-10-21,NKE,90160.0
2021-10-21,NUE,-135847.0
2021-10-21,EQT,-668493.0
2021-10-22,ALLE,-108620.0
2021-10-22,GPC,-106205.0
2021-10-22,HSY,-79233.0
2021-10-22,CMG,7748.0
2021-10-22,NKE,88086.0
2021-10-22,NUE,-139959.0
2021-10-22,EQT,-689465.0
2021-10-25,ALLE,-106993.0
2021-10-25,GPC,0.0
2021-10-25,HSY,-78449.0
2021-10-25,CMG,7972.0
2021-10-25,NKE,87386.0
2021-10-25,NUE,-139604.0
2021-10-25,EQT,-667556.0
2021-10-26,ALLE,-108959.0
2021-10-26,HSY,-79263.0
2021-10-26,CMG,8049.0
2021-10-26,NKE,86992.0
2021-10-26,NUE,-130558.0
2021-10-26,EQT,-634638.0
2021-10-27,ALLE,-110322.0
2021-10-27,HSY,-78618.0
2021-10-27,CMG,8171.0
2021-10-27,NKE,0.0
2021-10-27,NUE,-128203.0
2021-10-27,EQT,0.0
2021-10-28,ALLE,-112141.0
2021-10-28,HSY,-79581.0
2021-10-28,CMG,8090.0
2021-10-28,NUE,-132030.0
2021-10-29,ALLE,-111650.0
2021-10-29,GPC,-108521.0
2021-10-29,HSY,-79630.0
2021-10-29,CMG,8037.0
2021-10-29,NUE,-130594.0
2021-10-29,EQT,-691467.0
2021-11-01,ALLE,-111346.0
2021-11-01,GPC,-108959.0
2021-11-01,HSY,-81469.0
2021-11-01,CMG,0.0
2021-11-01,NKE,-85394.0
2021-11-01,NUE,-127950.0
2021-11-01,EQT,-717514.0
2021-11-02,ALLE,-110000.0
2021-11-02,GPC,-108446.0
2021-11-02,HSY,-81782.0
2021-11-02,NKE,-85887.0
2021-11-02,NUE,-130797.0
2021-11-02,EQT,-692808.0
2021-11-03,ALLE,-108885.0
2021-11-03,GPC,-106673.0
2021-11-03,HSY,-81400.0
2021-11-03,CMG,-7938.0
2021-11-03,NKE,-85120.0
2021-11-03,NUE,-133237.0
2021-11-03,EQT,-700967.0
2021-11-04,ALLE,-110408.0
2021-11-04,GPC,-106442.0
2021-11-04,HSY,-80911.0
2021-11-04,CMG,-8038.0
2021-11-04,NKE,-82815.0
2021-11-04,NUE,-129575.0
2021-11-04,EQT,-699251.0
2021-11-05,ALLE,-108984.0
2021-11-05,GPC,-106817.0
2021-11-05,HSY,-81460.0
2021-11-05,CMG,0.0
2021-11-05,NKE,-81427.0
2021-11-05,NUE,-127779.0
2021-11-05,EQT,-701311.0
2021-11-08,ALLE,-108711.0
2021-11-08,GPC,-104764.0
2021-11-08,HSY,-81451.0
2021-11-08,NKE,-80478.0
2021-11-08,NUE,-127323.0
2021-11-08,EQT,-694155.0
2021-11-09,ALLE,-108208.0
2021-11-09,GPC,-105726.0
2021-11-09,HSY,-81754.0
2021-11-09,CMG,7937.0
2021-11-09,NKE,-83128.0
2021-11-09,NUE,-122898.0
2021-11-09,EQT,-690131.0
2021-11-10,ALLE,-107435.0
2021-11-10,GPC,-106032.0
2021-11-10,HSY,-81085.0
2021-11-10,CMG,-7871.0
2021-11-10,NKE,-82186.0
2021-11-10,NUE,-125976.0
2021-11-10,EQT,-703037.0
2021-11-11,ALLE,-107711.0
2021-11-11,GPC,-106458.0
2021-11-11,HSY,-79559.0
2021-11-11,CMG,-7883.0
2021-11-11,NKE,-84902.0
2021-11-11,NUE,-129446.0
2021-11-11,EQT,-727378.0
2021-11-12,ALLE,-107889.0
2021-11-12,GPC,-105726.0
2021-11-12,HSY,-80099.0
2021-11-12,CMG,-7866.0
2021-11-12,NKE,-85558.0
2021-11-12,NUE,-126009.0
2021-11-12,EQT,-673854.0
2021-11-15,ALLE,-105679.0
2021-11-15,GPC,-105103.0
2021-11-15,HSY,-80396.0
2021-11-15,CMG,-7668.0
2021-11-15,NKE,-84485.0
2021-11-15,NUE,-127278.0
2021-11-15,EQT,-668806.0
2021-11-16,ALLE,-106577.0
2021-11-16,GPC,-104267.0
2021-11-16,HSY,-80496.0
2021-11-16,CMG,-7766.0
2021-11-16,NKE,-84605.0
2021-11-16,NUE,-129917.0
2021-11-16,EQT,-653509.0
2021-11-17,ALLE,-105305.0
2021-11-17,GPC,-104389.0
2021-11-17,HSY,-80383.0
2021-11-17,CMG,-7816.0
